studentno,studlastname,studmidname,studfirstname,studsuffixname,birthday,age,homeaddress
2008-55404,Jackson,Williams,Gloria,III,4/13/1990,26,1 Raven Circle
2007-75135,White,Rose,Charles,,9/20/1994,22,09972 Karstens Avenue
2019-08873,George,Andrews,Joan,,1/18/1990,26,304 Summer Ridge Pass
2018-73014,Fowler,Rice,Laura,,2/11/1997,19,658 Lake View Crossing
2001-51267,Simmons,Little,Lawrence,I,12/9/1997,19,14051 Memorial Point
2017-24763,Ruiz,Johnson,Alice,,2/21/1998,18,24 Maryland Point
2015-43800,Lewis,Matthews,Russell,Sr.,5/25/1990,26,4598 Pawling Junction
2014-31129,Diaz,Brooks,Doris,,3/12/1993,23,6 Glacier Hill Lane
2016-76492,Hughes,Roberts,Shirley,I,4/27/1995,21,4 Westridge Plaza
2009-13522,Berry,Matthews,Kelly,,8/1/1990,26,60 Macpherson Hill
2004-64780,Hart,,Joe,II,3/3/1992,24,98 Hanover Trail
2004-81254,Hamilton,Rose,Kelly,,8/29/1992,24,9 Anderson Place
2000-56724,Garza,Garcia,Norma,,12/21/1995,21,9122 Pond Center
2014-91544,Dean,,Dennis,,10/12/1994,22,819 Farmco Terrace
2005-45739,Sullivan,Cook,Joyce,,6/2/1995,21,9790 Westport Circle
2013-42812,Adams,Hill,Amanda,,3/29/1994,22,0401 Corben Pass
2006-25421,Stephens,Romero,Walter,Sr.,10/1/1994,22,9270 Birchwood Pass
2001-48667,Peterson,Long,Ruby,,9/25/1992,24,2282 Florence Drive
2005-78081,Coleman,Marshall,Joe,III,12/29/1990,26,24107 Meadow Valley Court
2001-31526,Mitchell,Chapman,Henry,,4/16/1994,22,383 Del Sol Street
2002-52056,Hudson,Reyes,Doris,II,4/27/1990,26,7728 Springview Plaza
2018-05220,Garrett,Cunningham,Karen,,4/21/1994,22,90303 Pankratz Street
2000-18798,Fields,Thomas,Matthew,,10/30/1996,20,443 Nancy Place
2009-57393,Lynch,,Betty,,4/27/1995,21,95094 Golf Road
2011-83997,Castillo,George,Amy,III,1/30/1994,22,42895 Division Crossing
2007-28262,Hunt,Rivera,Frances,,8/29/1992,24,1 Union Park
2007-81368,Woods,Henderson,Joshua,,1/22/1992,24,4997 Reinke Avenue
2001-64530,Harris,Johnson,Todd,,11/4/1990,26,140 Memorial Way
2008-69982,Ward,Ward,Dorothy,,12/8/1992,24,70 Northview Way
2015-38105,Lawrence,Murray,Juan,,3/10/1995,21,11612 New Castle Lane
2010-95756,Mitchell,Montgomery,Raymond,,7/7/1992,24,614 Scoville Park
2010-91185,Lawson,Jordan,Judy,,1/11/1997,19,297 Mccormick Court
2013-19365,Nichols,George,Robert,,7/4/1992,24,62 Schmedeman Avenue
2000-17636,Willis,Nelson,Frances,,2/17/1994,22,284 Sloan Lane
2015-48150,Stanley,Morris,Terry,,8/14/1992,24,47 Utah Terrace
2000-00368,Murray,Franklin,Gary,II,9/25/1991,25,369 Kipling Lane
2001-30926,Wheeler,,Tina,,3/25/1997,19,722 Prentice Plaza
2015-11286,Howard,Montgomery,Daniel,III,6/8/1996,20,59534 Bobwhite Point
2012-96760,Austin,Gray,Tina,,1/28/1996,20,486 Luster Junction
2019-64172,Hill,,Betty,II,8/9/1994,22,50 Warrior Terrace
2002-97061,Alexander,Stanley,Jeremy,,12/8/1993,23,655 Eastlawn Pass
2011-17289,Clark,,Jessica,,7/29/1993,23,7 Miller Terrace
2007-06267,Edwards,Lopez,Eric,,10/7/1994,22,5 Londonderry Pass
2008-71425,Jackson,Martinez,Sharon,,9/4/1997,19,17479 3rd Park
2007-16381,Stone,Hawkins,Aaron,I,10/31/1994,22,89307 Milwaukee Point
2008-23145,Franklin,Johnston,Billy,,3/20/1996,20,87455 Bay Way
2007-20022,Dunn,Carroll,Juan,,9/25/1994,22,321 Ryan Hill
2005-38239,Wood,Roberts,Wayne,,6/10/1992,24,16400 Schlimgen Terrace
2019-50067,Freeman,Larson,Brenda,III,1/24/1998,18,138 Manley Avenue
2004-59893,Smith,,Julie,,10/29/1993,23,4991 Dennis Place
2004-31765,James,,Heather,,4/16/1997,19,49924 2nd Drive
2019-95306,Jackson,Alexander,Laura,,11/1/1996,20,26 Arapahoe Plaza
2000-94134,Dean,Anderson,Cynthia,II,2/14/1997,19,5158 Pennsylvania Pass
2010-09317,Brooks,Tucker,Lawrence,III,4/13/1990,26,525 Sullivan Pass
2005-37357,Gomez,Nelson,Willie,,5/10/1993,23,69141 Menomonie Road
2008-96749,Ford,,Jason,II,11/6/1993,23,4490 Moose Plaza
2013-65698,Elliott,Bailey,Robin,,5/3/1998,18,014 Trailsway Avenue
2013-46477,Hicks,,Jose,,6/27/1990,26,59 Rigney Way
2016-60393,Rose,Gray,Kimberly,III,7/21/1990,26,127 Arapahoe Way
2003-15761,Schmidt,Smith,Linda,,7/31/1990,26,96 East Place
2010-00388,Webb,Brooks,Phillip,,7/25/1993,23,6 Lerdahl Point
2002-47175,Gordon,Stanley,Sarah,,2/19/1995,21,1586 Troy Plaza
2018-25699,Black,Wheeler,Victor,I,1/15/1992,24,88 Meadow Valley Plaza
2011-08658,Banks,Wilson,Betty,,12/3/1991,25,98 Forster Drive
2018-96761,James,Ray,Catherine,,10/6/1991,25,6448 Memorial Junction
2018-59866,Lee,Thompson,Cheryl,,3/29/1991,25,313 Manitowish Lane
2002-64092,Kelly,Fowler,Craig,,7/6/1996,20,4838 Nobel Circle
2012-44592,Myers,Vasquez,Bobby,,4/9/1991,25,4 Kim Drive
2010-37314,Gardner,Riley,Juan,,5/22/1992,24,55033 Merrick Trail
2005-65541,Dixon,,Beverly,II,10/21/1993,23,7772 Merrick Center
2011-25899,Richards,Murray,Juan,,9/27/1992,24,8 Elka Court
2001-65061,Nichols,Burke,Roy,I,1/4/1998,18,4 Dapin Junction
2001-26167,Hawkins,Dunn,Kimberly,,8/23/1990,26,8318 Bluejay Drive
2006-80036,Reynolds,,Johnny,,7/14/1993,23,06 Carberry Court
2010-77383,Barnes,Nichols,Lori,,4/5/1998,18,44959 Bashford Alley
2009-87608,Reid,Howard,Chris,I,6/10/1990,26,5 Blaine Hill
2002-17208,Hart,Hill,Anne,,6/6/1993,23,127 Washington Pass
2004-87547,Snyder,Williamson,Bonnie,,7/26/1993,23,5301 Northview Terrace
2012-10123,Fernandez,Welch,Carl,III,12/2/1996,20,82 Badeau Way
2016-12162,Willis,Boyd,Jessica,,3/29/1990,26,09477 Kinsman Park
2010-14266,Long,,Nancy,II,11/28/1993,23,03871 American Place
2005-07846,Harrison,Nelson,Judy,,12/16/1993,23,4741 Anderson Lane
2010-74304,Gray,Flores,Adam,,7/7/1994,22,49669 Homewood Hill
2017-95736,Williamson,,Joe,,8/27/1994,22,537 Westridge Place
2007-74164,Hansen,Knight,Diane,,8/13/1991,25,446 Marquette Park
2007-61776,Richards,Graham,Christina,I,12/10/1993,23,1 Duke Parkway
2016-16978,Cunningham,,Jason,,12/14/1993,23,1 Service Circle
2017-78055,Gonzalez,Gilbert,Robert,,6/23/1997,19,7 Amoth Place
2013-39980,Wallace,Harper,Stephen,,2/11/1996,20,534 Delaware Lane
2002-41779,Ruiz,,George,,10/29/1994,22,47 Texas Point
2001-33625,Young,Alvarez,Phyllis,Jr.,1/29/1993,23,82722 Express Trail
2016-32483,Brown,Bradley,Anthony,,7/27/1992,24,6 Maywood Trail
2013-15878,Butler,Wagner,Jacqueline,,8/10/1996,20,11 La Follette Park
2015-60285,Young,Flores,Jerry,,9/4/1993,23,57841 Arapahoe Hill
2011-56833,Freeman,Torres,Joyce,,8/12/1990,26,03611 Northfield Court
2017-04956,Young,Hernandez,Linda,,2/28/1997,19,27718 High Crossing Terrace
2014-65113,Harvey,Freeman,Nicole,,6/25/1995,21,4181 4th Junction
2014-05078,Brooks,Garrett,Steve,,5/8/1995,21,81 Graceland Place
2010-18110,Payne,Garrett,Donna,III,7/21/1995,21,86 Logan Avenue
2007-40207,Boyd,Diaz,Jacqueline,,3/31/1995,21,8691 Ridge Oak Point
2005-25511,Fields,Murphy,Mary,,1/21/1994,22,7 Cottonwood Trail
2017-40759,Flores,,Anne,,10/20/1992,24,0 Memorial Lane
2017-07360,Burke,,Tina,,6/27/1992,24,589 Commercial Street
2013-29240,Adams,Gomez,Bobby,,11/1/1996,20,19545 Maple Wood Parkway
2004-52540,Allen,Wright,Eric,,6/14/1992,24,467 Sachtjen Center
2011-37141,Brown,,Ernest,,7/8/1993,23,83568 Bluestem Court
2002-74723,Carpenter,Long,Brian,,5/6/1991,25,31757 Lillian Avenue
2018-20701,Campbell,Sanders,Aaron,,10/22/1990,26,92 4th Lane
2017-04942,James,Simmons,John,,3/26/1993,23,49306 Sunfield Center
2012-30860,Hudson,,Brian,,4/28/1997,19,18700 Shelley Way
2006-99993,Cole,Mendoza,Steve,,1/21/1992,24,4324 Warner Lane
2016-95315,Simmons,Russell,Patrick,III,4/18/1996,20,080 Cherokee Court
2009-29677,Ellis,Martinez,Norma,,6/30/1993,23,90 Morrow Parkway
2019-84150,Harris,Russell,Aaron,III,6/23/1990,26,74 Butternut Trail
2004-37708,Lawson,Robertson,Ronald,II,6/20/1993,23,8890 Hollow Ridge Place
2018-72014,Gibson,Thompson,Martin,,10/23/1997,19,524 Pepper Wood Parkway
2009-27074,Knight,Richardson,Martha,II,8/19/1992,24,973 Jenna Parkway
2009-26746,Howell,Porter,Wanda,III,8/31/1996,20,009 Wayridge Center
2001-30315,Andrews,Frazier,Lawrence,,8/21/1991,25,6 Lunder Lane
2017-57789,Hill,Weaver,Todd,,6/15/1992,24,47617 Mariners Cove Center
2009-41088,Black,,Deborah,,11/27/1990,26,21 Brickson Park Center
2009-23078,Ellis,,Walter,,4/14/1993,23,868 Loeprich Center
2009-84568,Foster,Grant,Lisa,,1/6/1995,21,7 Ridgeway Plaza
2007-93516,Gonzales,James,Beverly,,10/24/1991,25,5157 Oakridge Trail
2001-58956,Nguyen,,Janice,,6/20/1992,24,814 Boyd Avenue
2002-87778,Baker,Mcdonald,William,,10/17/1993,23,4 Norway Maple Street
2005-69777,Powell,Barnes,Stephanie,,4/18/1993,23,9 Scott Pass
2008-40295,Elliott,Green,Roger,,8/30/1990,26,706 Holy Cross Hill
2015-59327,Carpenter,Myers,Brenda,,3/19/1996,20,4565 Vernon Center
2011-62068,Patterson,Chapman,Roger,,6/8/1992,24,0 Lotheville Street
2019-01334,Willis,Payne,Norma,,4/20/1996,20,77 Mallory Lane
2016-40315,Reed,Alexander,Paul,I,5/16/1995,21,3 Crest Line Court
2016-91554,Nguyen,Murphy,Shawn,III,9/29/1992,24,21315 Melody Alley
2013-28416,Simpson,Roberts,Louise,III,7/9/1990,26,8 Di Loreto Parkway
2009-20876,Franklin,Evans,Steven,,10/8/1993,23,394 Welch Drive
2007-43451,Robinson,Lane,Harold,,4/16/1998,18,299 Columbus Hill
2019-82175,Weaver,Martinez,Teresa,,7/15/1996,20,12902 Hayes Junction
2000-77319,Mccoy,Hansen,Roger,,12/13/1995,21,300 Crescent Oaks Hill
2000-77581,Bishop,Scott,Joan,,3/26/1990,26,02478 Sommers Plaza
2004-47925,Matthews,Adams,Steve,,11/11/1997,19,81 Marcy Plaza
2012-71377,Andrews,Elliott,Harry,,5/31/1994,22,45 Gateway Crossing
2008-76158,Wilson,Hill,Gary,,3/12/1990,26,934 Commercial Hill
2001-39680,Bailey,Frazier,Ruby,,4/12/1994,22,6494 Mcbride Court
2015-00973,Bradley,Morales,Kathy,,12/20/1993,23,7194 Esker Road
2012-93484,Sullivan,Wallace,Doris,I,11/25/1991,25,9886 Waxwing Circle
2004-52987,Tucker,King,Carolyn,,7/10/1993,23,47 Red Cloud Court
2010-88079,Fox,Willis,Marilyn,,11/4/1994,22,89 Tennessee Drive
2011-28488,Dixon,,Jerry,,4/27/1993,23,6 Eagle Crest Drive
2009-10180,Mills,Gordon,Elizabeth,III,8/10/1992,24,5 Wayridge Court
2018-37012,Thomas,Spencer,Victor,II,1/22/1996,20,7568 Cordelia Court
2001-72129,Bailey,Taylor,Steven,,3/1/1992,24,63676 Bartelt Court
2019-02774,Morrison,Frazier,Nancy,,12/15/1997,19,41147 Corry Junction
2015-18460,Murphy,Lawrence,Nicholas,,6/9/1996,20,0 Forest Dale Hill
2009-16035,Shaw,,Phyllis,III,2/15/1993,23,2418 Mariners Cove Center
2018-07174,Romero,Ward,Ernest,II,5/3/1990,26,5 Scoville Parkway
2006-45900,Boyd,Murray,Melissa,,9/25/1990,26,59 Sherman Court
2004-35092,Hughes,Ellis,Jimmy,,3/12/1994,22,6 Comanche Crossing
2011-06907,Berry,Peters,John,,10/10/1991,25,22 Maryland Lane
2003-45260,Dunn,Perry,Brandon,,5/2/1991,25,388 Melby Center
2018-24258,Butler,Patterson,Louise,,1/5/1991,25,47 Eagan Crossing
2011-19709,Gordon,Murphy,Dennis,,6/22/1995,21,1089 Lakewood Gardens Junction
2000-42541,Taylor,West,Eric,,5/25/1992,24,9 Vidon Park
2003-20266,Watkins,Burton,Walter,,10/19/1991,25,376 Judy Alley
2012-06171,Medina,Patterson,Phillip,,4/23/1997,19,0528 Heffernan Street
2017-62050,Simmons,Long,Christina,,3/24/1997,19,32044 Carberry Place
2002-94658,Fox,Griffin,Paul,,8/4/1997,19,671 Glendale Junction
2000-19541,Burton,Garcia,Elizabeth,,4/13/1992,24,217 Kedzie Lane
2014-05373,Cruz,Phillips,Roy,II,2/8/1990,26,6172 Anniversary Place
2003-45731,Martinez,,Jean,III,5/30/1994,22,4 Westridge Center
